Slide # 	Image #	No Dilution 	Bead/ml 		Image 	1:10 dilution 	Beads/ml		Image 	1:5 dilution 	Beads/ml		Image 	2:5 dilution 	Beads/ml					Image 	No dilution 	Beads/ml		Image 	1:50 dilution	Beads/ml
1	3	298	2191462788		1	14	102954627.6		1	32	294156079		1	60	551542648.1					1	89	654497275.7		1	8	58831215.79
1	4	260	1912014513		2	16	117662431.6		2	25	229809436.7		2	59	542350270.6					2	101	742744099.4		2	11	80892921.72
1	5	268	1970845729		3	20	147078039.5		3	32	294156079		3	80	735390197.4					3	74	544188746.1		3	11	80892921.72
2	6	272	2000261337		4	13	95600725.67		4	36	330925588.8		4	75	689428310.1					4	87	639789471.8		4	11	80892921.72
2	7	286	2103215965		5	20	147078039.5		5	26	239001814.2		5	68	625081667.8					5	85	625081667.8		5	11	80892921.72
2	8	283	2081154259		6	18	132370235.5		6	30	275771324		6	60	551542648.1		6	97	713328491.5		6	9	66185117.77			
2	9	279	2051738651		7	19	139724137.5		7	29	266578946.6		7	68	625081667.8		7	112	823637021.1		7	13	95600725.67			
2	10	286	2103215965		8	17	125016333.6		8	38	349310343.8		8	84	772159707.3		8	105	772159707.3		8	12	88246823.69			
3	11	228	1676689650		9	23	169139745.4		9	32	294156079		9	66	606696912.9		9	99	728036295.5		9	10	73539019.74			
3	12	228	1676689650		10	19	139724137.5		10	25	229809436.7		10	79	726197820		10	92	676558981.6		10	12	88246823.69			
3	13	230	1691397454		11	14	102954627.6		11	45	413656986.1		11	69	634274045.3		11	83	610373863.9		11	19	139724137.5			
3	14	260	1912014513		12	21	154431941.5		12	30	275771324		12	71	652658800.2		12	77	566250452		12	10	73539019.74			
3	15	286	2103215965		13	24	176493647.4		13	35	321733211.4		13	77	707813065		13	76	558896550		13	13	95600725.67			
4	17	269	1978199631		14	22	161785843.4		14	39	358502721.2		14	83	762967329.8		14	66	485357530.3		14	16	117662431.6			
4	18	284	2088508161		15	21	154431941.5		15	44	404464608.6		15	63	579119780.5		15	66	485357530.3		15	8	58831215.79			
4	19	277	2037030847		16	22	161785843.4		16	48	441234118.5		16	55	505580760.7		16	62	455941922.4		16	12	88246823.69			
4	20	264	1941430121		17	15	110308529.6		17	38	349310343.8		17	68	625081667.8		17	113	830990923.1		17	12	88246823.69			
	Average	268.1176471	1971710894		18	22	161785843.4		18	30	275771324		18	67	615889290.3		18	61	448588020.4		18	14	102954627.6			
	Stdev	21.44726775	157721104.7		19	17	125016333.6		19	38	349310343.8		19	70	643466422.8		19	66	485357530.3		19	16	117662431.6			
	CV	0.07999200347	0.07999200347		20	16	117662431.6		20	33	303348456.4		20	68	625081667.8		20	109	801575315.2		20	13	95600725.67			
					Average 	18.65	137150271.8		Average 	34.25	314838928.3		Average 	69.5	638870234		Average 	87.2	641260252.2		Average 	10.4	76480580.53			
					Stdev	3.281126251	24129080.81		Stdev	6.512134423	59861997.73		Stdev	8.120798509	74649445.23		Stdev	9.654014709	70994677.83		Stdev	1.341640786	9866294.829			
	157721104.7				CV	0.1759317025	0.1759317025		CV	0.1901353116	0.1901353116		CV	0.1168460217	0.1194235075		CV	0.1107111779	0.1107111779		CV	0.1290039218	0.1290039218			
																										
	ymin 	1813989789			ymin 	113021191			ymin	254976930.5			ymin	564220788.8			ymin	570265574.3			ymin	66614285.7				
	ymax	2129431999			ymax	161279352.6			ymax	374700926			ymax	713519679.3			ymax	712254930			ymax	86346875.36				
																										
					Expected	300000000			Expected 	600000000			Expected	1200000000			Expected	3000000000			Expected	60000000				
						-54.28324273				-47.52684529				-46.76081383				-78.62465826			Percent Error 					
					Percent error 	54.28			Percent Error 	47.53			Percent Error 	46.76			Percent Error 	78.92								
																										
																										
					Field of view (sq. um)	6581.54																				
					Cover glass	484000000																				
					Multiplier 	73539.01974																				
																										
					volume on slide dilution 1	10 ul 																				
					volume on slide dilution 2&3	8 ul 																				