Slide #	Image #	Count 	Concentration (VLP/g)	Sample mass (g)	Field of view (sq. um)	6581.54
1	2	149	3094345457	0.5	Cover glass	484000000
1	3	165	3426624164		Multiplier 	73539.01974
1	4	161	3343554487		Adjustment for dilution from antifade and dye 	1.412
2	8	163	3385089326		Volume (uL)	10
2	10	174	3613530937			
3	11	248	5150319956			
3	13	205	4257320931			
3	12	166	3447391583			
3	14	214	4444227704			
4	16	143	2969740942			
4	17	185	3841972547			
4	20	164	3405856745			
5	21	116	2409020624			
5	22	132	2741299331			
5	23	105	2180579013		782369624	
5	24	136	2824369008			
5	25	111	2305183528		ymin 	2561184863
	Average 		3343554487		ymax	4125924111
	Stdev		782369624			
	CV		0.2339933825			
			23.40%			