Slide #	Image #	Count	Concentration (VLP/mL)	Sample mass (g)	Field of view (sq. um)	6581.54	
1	1	134	766505569.5	0.167	Cover glass	484000000	
1	2	118	674982516.4		Multiplier 	73539.01974	
1	5	149	852308431.8		Adjustment for dilution from antifade and dye 	1.299	
2	6	137	783666141.9		Volume (uL)	10	
2	9	228	1304203506				
2	8	143	817987286.9				
3	12	127	726464233.8				
3	13	104	594899845				
3	14	129	737904615.4				
3	15	131	749344997				
4	16	130	743624806.2				
4	19	128	732184424.6			167507429.4	
4	20	146	835147859.3				
	Average		793786479.5			ymin	626279050.2
	Standard Dev		167507429.4			ymax	961293908.9
	CV		0.2110232836				
			21.10232836				