Slide #	Image #	Count	Concentration (VLP/mL)	Sample mass (g)	Field of view (sq. um)	6581.54
1	3	113	646381562.3	0.153	Cover glass	484000000
1	4	109	623500799.1		Multiplier 	73539.01974
1	5	121	692143088.9		Adjustment for dilution from antifade and dye 	1.299
2	6	128	732184424.6		Volume (uL)	10
3	12	113	646381562.3			
3	14	139	795106523.6			
4	19	108	617780608.3			
5	21	138	789386332.8			
5	22	130	743624806.2			
5	23	133	760785378.7			
5	24	144	823707477.7		76607015.77	
5	25	107	612060417.4			
	Average		706920248.5		ymin	630313232.7
	Standard Dev		76607015.77		ymax	783527264.3
	CV		0.1083672676			
			10.83672676			