Slide #	Image #	Count 	Concentration (VLP/g)	Sample mass (g) 	Field of view (sq. um)	6581.54
1	1	173	1652620329	0.1	Cover glass	484000000
1	2	184	1757700234		Multiplier 	73539.01974
1	3	222	2120703544		Adjustment for dilution from antifade and dye 	1.299
1	4	204	1948754608		Volume (uL)	10
2	7	292	2789393850			
2	8	112	1069904490			
2	9	175	1671725766			
2	10	202	1929649170			
3	11	103	983930022.5			
3	12	110	1050799053			
3	13	115	1098562646			
3	14	106	1012588178			
3	15	123	1174984396			
4	16	138	1318275176		495828003.7	
4	17	135	1289617020			
4	18	128	1222747989		ymin 	963615125.6
4	19	108	1031693616		ymax	1955271133
4	20	120	1146326240			
	Average		1459443129			
	Standard dev		495828003.7			
	CV		0.3397378039			
			33.97%			